mean_predicted_probability,observed_default_rate,absolute_gap
0.04289815334494184,0.03333333333333333,0.009564820011608507
0.06528796712401617,0.08333333333333333,0.018045366209317154
0.08346966278685554,0.06666666666666667,0.016802996120188873
0.0992573515015676,0.11666666666666667,0.017409315165099068
0.11547888397678126,0.10833333333333334,0.0071455506434479205
0.13488908408999073,0.16666666666666666,0.03177758257667593
0.15706319003918823,0.15833333333333333,0.0012701432941450985
0.18416329266397619,0.25,0.06583670733602381
0.22620259097903894,0.20833333333333334,0.0178692576457056
0.36981184721552735,0.36666666666666664,0.0031451805488607043
