model,accuracy,precision,recall,f1_score,roc_auc,average_precision,brier_score,decision_threshold,business_cost,evaluation_split
Gradient Boosting,0.6833333333333333,0.28,0.6533333333333333,0.392,0.6927901234567903,0.2778334291284738,0.125381101375076,0.15,256,selection_after_calibration_and_thresholding
Logistic Regression,0.7229166666666667,0.2986111111111111,0.5733333333333334,0.3926940639269406,0.7140740740740741,0.3019679457564139,0.1231628890257286,0.17,261,selection_after_calibration_and_thresholding
Random Forest,0.6708333333333333,0.24539877300613497,0.5333333333333333,0.33613445378151263,0.6457283950617284,0.23592029055468006,0.13052856343070696,0.15,298,selection_after_calibration_and_thresholding
