age_group,applicants,observed_defaults,observed_non_defaults,observed_default_rate,predicted_high_risk_rate,average_predicted_probability,true_positive_rate,true_positive_rate_lower_95,true_positive_rate_upper_95,false_positive_rate,false_positive_rate_lower_95,false_positive_rate_upper_95
18-24,86,13,73,0.1511627906976744,0.4418604651162791,0.16126197489770913,0.7692307692307693,0.49743126004873084,0.918206209075343,0.3835616438356164,0.2805043940267184,0.4982612745694586
25-34,231,44,187,0.19047619047619047,0.47619047619047616,0.16633462116824796,0.8181818181818182,0.6803916324485767,0.9048730744174144,0.39572192513368987,0.3284094766755328,0.46723256363433674
35-49,388,52,336,0.13402061855670103,0.35051546391752575,0.14320280468486457,0.5769230769230769,0.4419408497943149,0.7013215209113954,0.31547619047619047,0.26811026971888435,0.36701385869859
50-61,286,42,244,0.14685314685314685,0.3531468531468531,0.13722143338644482,0.5238095238095238,0.3772221394020704,0.6664063552403504,0.3237704918032787,0.26818288601310064,0.3848212908482496
62+,209,36,173,0.1722488038277512,0.3349282296650718,0.14508515478137388,0.4166666666666667,0.2714033350508729,0.5780003033572231,0.3179190751445087,0.25312648473313004,0.390622497406819
